Name,Phone,Website,Area,Address,City,Pincode,India,Image,Category,About
Early Engineers                  ,N/A,N/A,Sector 22,"Basement (rear Entry), No.188, Sector-22 A, Huda Market",Delhi, 122015,India,,Robotics,"
	Early Engineers works with the believe that every individual needs the right channel and direction to realize its true potential. We work with the objective of empowering our children through providing this much needed channel by providing a platform which helps them explore their natural creativity in a fun-filled way. We mainly offer courses like Robotics, Software Engineering, Video game design and Engineering Concepts for children age 5-14 years. Every course that we offer is planned keeping in mind some activity, interactive learning, presentation, discussion and fun quotient and various other factors enhancing the learning potential of the students."
Brainy Toys                  ,N/A,N/A,Sikanderpur,"1032 Q, Sector 38, Behind Medanta",Delhi, 122001,India,,Robotics,"
	Brainy Toys is the only place where children can can learn and experiment on Science and technology with an open mind, sharpen their brain and develop their abilities in Robotics, science, electronics, mechanical engineering and many more. We generally educate the young children about latest developments in technology which will play a vital role in our daily life. We provide provide cost-effective, high performance all kinds of educational kits, experimental kits, science kits, DIY kits and learning toys etc."
Life Skills Education                  ,N/A,N/A,Sector 50,"C-402, 4th Floor, Nirvana Courtyard, Nirvana Country, Sec 50 Gurgaon, Haryana",Delhi, 122018,India,,Personality Development,"
	Skillizen is a well reputed educational institute offering training in Decision Making and Problem Solving skills to younger citizens during the phase when their mind undergoes hardwiring for various concepts around them. We offer online courses, learning based web games, interactive books and engaging videos on its online platform in order to reach out to maximum number of such citizens as much as it can."
Unofia Technologies                  ,N/A,N/A,Iffco Chowk,"640 Ground Floor, Saraswati Vihar, Krishna Market, Near MG Road Metro Station, Gurgaon",Delhi, 122002,India,,"Digital Marketing, Java Script, Magento Training, PHP and MySQL, Wordpress Training","
	UNOFIA Technologies is Gurgaon based IT Training Centre. We are leading training providers in the sector of Website Designing, Development, Social Media Promotion and Graphic Designing, PHP & MySql 45days training with Project."
Future Fit                  ,N/A,N/A,Sikanderpur,"Future Fit, Sports Complex, American Excelsiors School, Sector 43, Gurgaon",Delhi, 122002,India,,"Gym, Gymnastics","
	Future Fit is one of the one of the largest privately owned gymnastic training centers in India. We are committed towards offering best training facilities amidst a safe and fun environment. We conduct various programs such as Pre-School classes, Recreational classes and Competitive teams."
Little Millennium                  ,N/A,N/A,Cyber Park,"514, Udyog Vihar, Phase I I I, Gurgaon, Haryana",Delhi, 122001,India,,"Language, Mental Maths, Personality Development, Speech & Drama","
	Little Millennium is an initiative of Educomp Solutions Ltd. and stands as one of India's leading chains of preschool. We always follow a scientifically researched and result-oriented approach and always remain committed towards our objective. The curriculum designed by us aims at providing children with a solid academic foundation by implementing a multi-sensory integrated approach to education."
Rivo Kids                  ,N/A,N/A,Sikanderpur,"D 239-Sushant Lok 1, Gurgaon, Haryana,",Delhi, 122001,India,https://www.myprivatetutor.com/userfiles/centers/center1461749287.jpg,Personality Development,"
	RivoKids is the first and only website offering a list of resources such as website links, game recommendations, fun science experiments and art activities. It serves as a one stop place providing projects and ideas to help kids develop lateral thinking and logical reasoning."
Bubbles N Blossoms                  ,N/A,N/A,Sector 49,"S-18, Uppals Southend, Sohna Road Near Sai Mandir, Sector 49, Gurgaon",Delhi, 122001,India,https://www.myprivatetutor.com/userfiles/centers/center1461749156.jpg,"Karate, Martial Arts","
	Bubbles Blossoms is committed towards provide highest quality of childcare and educational service in safe and loving environment. Our prime objective is to offer training service which is second to none. We believe in working with collaboration along with parents as we believe that these interactions are stepping stones towards the development of the students."
Brain Academy                  ,N/A,N/A,Sector 23,"Kinder Valley School, Lane 4901-4912, Dlf Phase 4, 4346, Sector 23, Gurgaon",Delhi, 122002,India,,"Mental Maths, Speech & Drama","
	Brain Academy was started with the purpose of stimulating the the imaginations of the students and engage them in active problem solving. Our curriculum involves frequent teacher-student interactions in the form of various individual and group activities. Our programs are mainly designed for students between the age group of 4 to 12 years. We aim to build a strong foundation of the students in Mathematics and English through our wide range of programs."
Educational Technologies                  ,N/A,N/A,Old Dlf Colony,"No. 204, Sun City Business Tower, Sector 54, Golfcourse Road, Gurgaon",Delhi, 122001,India,,Personality Development,"
	Educational Technologies is established with the sole purpose of ensuring the overall academic, mental and personality development of children. We hold a proven track record of raising standards through good classroom management, extensive knowledge of current planning and assessment procedures. Our trainers are well experienced and are capable of providing multiple approaches to concepts and patiently finding new ways to help students access new concepts."
Arena Animation                  ,N/A,N/A,Arjun Nagar,"M-25, Old DLF Colony, Sector 14, Gurgaon",Delhi, 122001,India,,"3D Max / Maya, Adobe Tools, Animation, Graphic Designing, Web Designing","
	Arena Animation is the ultimate destination for animation & VFX education brand. The center through its excellent network of professionals has helped in preparing students for a bright career in animation, VFX, gaming, web and graphics design. Arena House has an excellent track record in providing quality and cost effective education through its specialized faculties and a professional environment leading to job placement in top-notch industries. The infrastructure we have is one of the best to help students understand the real work environment. A dedicated building with state-of-the-art technology and equipment helps student achieve their full potential. The roof top provides a relaxing environment for the students to discuss and practice creativity at their leisure time."
Sportacular India                  ,N/A,N/A,Sector 55,"Ansal University, Sushant Lok I I, Sector 55, Gurgaon",Delhi, 122003,India,,"Badminton, Basketball, Cricket, Football, Tennis, Volleyball","
	Sportacular India offers Tennis coaching, Cricket coaching, Football coaching, Basketball coaching and programs in several other sport activities. Our trainers follow the most passionate and individualized approach for each of our client. We design a program keeping in mind the physical, emotional and psychological barriers to success and help our clients to achieve the result they want."
Earnestt Learners                  ,N/A,N/A,Sohna Road,"Oak Wood 12,ground Floor, Malibu Town, Sohna Road, Delhi",Delhi, 122001,India,,"Handwriting, Mental Maths, Personality Development","
	Earnestt Learners is a well reputed educational institute offering courses in Mental Maths classes, Personality Development classes, Calligraphy classes and various other academic enrichment programs. We understand the importance of nurturing the education of young minds, and through consistent effort, encouraging and empowering children to seek knowledge."
Prostar Tennis Academy                  ,N/A,N/A,Sector 56,"Sector 61, Gurgaon",Delhi, 122101,India,,"Cricket, Tennis","
	Prostar Tennis Academy offers training in Tennis, Cricket, Football and other sport activities for students of all age groups. All the sessions are conducted by professionals who are all experienced coaches with several years of professional coaching experience. Our aim is to evolve into a dynamic organisation where each member of the team contributes in making our mission a success."
