Name,Phone,Website,Area,Address,City,Pincode,India,Image,Category,About
Smu Durgapur                  ,N/A,N/A,City Center,"3/7, Central Park, Doctor's Colony, City Centre",Delhi, 713216,India,https://www.myprivatetutor.com/userfiles/centers/center1420719978.jpg,"B.Com Tuition, B.Sc Tuition, BA Tuition, BCA Tuition","
	SMU Durgapur is a leading provider of professional Distance learning Programs in India such as MBA, MCA, BCA, BBA and others. A winner of several awards including ‘student’s most preferred Distance education university’, SMUDE has helped lakhs of working professionals from leading corporates such as TCS, Infosys, HCL, Airtel, to name a few, to realise their career dreams through conveniently delivered high quality Degree Programs that accelerate their career growth with a professional edge."
Time Durgapur                  ,N/A,N/A,City Center,"3/3,  Doctor's Colony, City Centre",Delhi, 713216,India,,"Bank Clerical, MBA Entrance, Law Entrance, SSC Exams","
	TIME Durgapur is India's leading test-prep institute with a pan-India presence and is helping to build a few hundred thousand careers along the way. The company is constantly diversifying & entering into new areas. The key drivers of this success are TIME 's commitment to students, its pan-India presence, its highly committed team of R&D professionals and its well-researched study material and unique pedagogy."
Brainware Durgapur                  ,N/A,N/A,City Center,"Near City Club, Opposite No. 2, Doctor's Colony, City Centre",Delhi, 713216,India,https://www.myprivatetutor.com/userfiles/centers/center1420624475.jpg,"Hardware Training, Multimedia, Networking, Web Designing","
	Brainware Durgapur has always been associated with providing quality job-oriented programmes to the youth of West Bengal at extremely affordable rates and has grown from strength to strength. "
Tally Academy Durgapur                  ,N/A,N/A,City Center,"C-8, Central Park, 2nd Street, Doctor's Colony, City Centre",Delhi, 713216,India,https://www.myprivatetutor.com/userfiles/centers/center1420693663.jpg,"SAP Training, Tally ERP 9","
	A pioneering company, Tally Durgapur was the first to introduce codeless software, a natural language interface, path-breaking remote functionality and other unique capabilities. It was the first to launch free service and breakaway commercial terms including free upgrades and no charge per seat to transform the ownership experience. Its strong principle right from the early years to reach customers through a dedicated partner network has resulted in a robust partner system."
Brainiac                  ,N/A,N/A,City Center,"3/C-14, Central Park, City Centre",Delhi, 713216,India,https://www.myprivatetutor.com/userfiles/centers/center1421822459.jpg,"Java and J2EE, Web Development","
	Brainiac is a team of enthusiastic and skilled professionals from around the globe specializing in web designing, content creation, e-commerce site development, site optimization, domain registration and social media marketing. "
Epitome Durgapur                  ,N/A,N/A,City Center,"3/20, Maxmuller Path, Non Company, City Centre",Delhi, 713216,India,https://www.myprivatetutor.com/userfiles/centers/center14153561575173.png,Management Subjects,"Epitome Durgapur has pioneered with years of vast experience in Professional and Vocational courses like Quality Control Engineering, Fire & Safety Management, Health & Safety Management, Embedded systems & Robotic Engineering in short term, long term and modular with placement facilities. We maintain a well-equipped class rooms with projector and air condition and Hygienic infrastructure in all the branches across the country. We have a strong placement division to cater to the job requirements of the youth."
Iifa Durgapur                  ,N/A,N/A,Dcl Colony,"C-16, Dr.'s Colony",Delhi, 713216,India,,"Presentation Skills, Public Speaking, Telephonic Skills","
	IIFA Durgapur provides students an opportunity to enter the world of customer service by being trained in this field. With proper Trainers and appropriate study methods, people joining the Institute are groomed in such a manner that they can receive good job opportunities.  "
Et&t-tcil; Computer Education & Training                  ,N/A,N/A,City Center,"2/4, Central Park, Doctor's Colony, City Centre",Delhi, 713216,India,,"Stock & Share Trading, .Net, 3D Animation, 3D Max / Maya, 3D Printing, AJAX Training, Android Training, AutoCAD, Basic Computer, C, C++, Cloud Computing, Data Structures, DTP, Java and J2EE, Microsoft Certification, Oracle Training, PHP and MySQL, Python Programming, Software Testing, Tally ERP 9, U... More [+]","
	ET&T-TCIL Computer Education and Training Institute provides students with the opportunity to study a wide variety of Courses in Computers in order to gain a proper job.  "
Vivekananda Computer Centre                  ,N/A,N/A,City Center,"3/12, Central Park, Doctor's Colony, City Center",Delhi, 713216,India,,".Net, C, C++, Java and J2EE","
	Your way to success is we. At Vivekananda Computer Centre we provide the best coaching on varied technical subjects. We provide a kind of education that shall be your possession for the life time. Education is what remains after one has forgotten, what one has learned in school. The greater part of our misery or unhappiness is the lack of knowledge. To cover up the lack is creating happiness."
Desms                  ,N/A,N/A,City Center,"Shantideep Complex, Satyajit Roy Sarani, City Center",Delhi, 713216,India,https://www.myprivatetutor.com/userfiles/centers/center1421671393.jpg,"All Subjects, Arts Group, Business Maths, Business Organisation, Business Studies, Chemistry, Commerce Subjects, Costing, IT & Computer Subjects, Mathematics, Physics, Statistics, Accountancy, Auditing, B.Com Tuition, B.Ed Tuition, B.Sc Tuition, BA Tuition, Banking & Finance, BBA Tuition, BCA Tuitio... More [+]","Durgapur Educational Society of Management & Science is imparting specialized training to students for several courses in core Management, Technical and General streams of education. It is also working as a finishing school by imparting training for different entrance examinations. Job oriented courses with cutting age technology are also in vogue."
Gurumantra Academy                  ,N/A,N/A,City Center,"Bajaj Building-2nd Floor, Subhash Pally, Benachity, Durgapur - 713213",Delhi, 713213,India,https://www.myprivatetutor.com/userfiles/centers/center1421671613.jpg,"Bank PO, IBPS, RBI Exam, SBI Exam, SSC Exams","
	Over the years Gurumantra Academy has helped many students like you realize their goals of a successful career in government sector. The success of our students is inspiring and so is their faith in Gurumantra Academy. It is this faith that acts as a catalyst for our emergence as the continuously growing brand in the field of competitive exams. "
Jajba                  ,N/A,N/A,City Center,"2/19, Nandalal Bithi",Delhi, 713216,India,https://www.myprivatetutor.com/userfiles/centers/center1421840942.jpg,"Defence Exams, Police Department Exam","
	Jajba Sena Bharti Training Centre was established with the mission of building ou youths for the security of our country. It is run and managed by Jajba Educational and Welfare mission. We instill strong values and discipline to bring out the potential of the young spirit."
Pathfinder Purulia                  ,N/A,N/A,Rajbandh,"Ground Floor, Kalyani Smriti Bhawan, Near Zilla School More,  Dulmi Nadiha, Purulia",Delhi, 723102,India,https://www.myprivatetutor.com/userfiles/centers/center1420620882.jpg,"All Subjects, AIPMT, IIT JEE Mains, MAT, SAT, WBJEE","Pathfinder Purulia inspires and leads its employees through an environment of professionalism, trust, mutual respect and base our decisions on facts. We manage the brand and the funds entrusted to us by the owner and provide highest return to the group. We achieve sustainable results and mutual benefits with our partners through a professional and seamless execution. School level coaching and competitive examination preparation are our area of expertise. With Pathfinder Purulia, parents need not worry about their children as the teachers and the Institute itself acts as a parent and helps the child achieve success from a small age."
Pathfinder Bolpur                  ,N/A,N/A,Kajora,"Sriniketan Road, Mudi Market, Opposite Bolpur High School, Bolpur",Delhi, 731204,India,https://www.myprivatetutor.com/userfiles/centers/center1420621256.jpg,"All Subjects, AIPMT, IIT JEE Mains, MAT, SAT, WBJEE","Pathfinder Bolpur will help them to achieve rewarding professional careers such that they make a firm imprint as truly global Indians. AIPMT, IIT JEE Preparation, MAT, SAT, WBJEE are some of our programmes. We know our students intimately and achieve their loyalty by exceeding their expectation. We inspire and lead our employees through an environment of professionalism, trust, mutual respect and base our decisions on facts. We manage the brand and the funds entrusted to us by the owner and provide highest return to the group."
Iihe Durgapur                  ,N/A,N/A,Muchipara,"Durgapur, Muchipara, Ambagan, Near I. T. I.",Delhi, 713212,India,https://www.myprivatetutor.com/userfiles/centers/center1420456381.png,"Hardware Training, Networking","
	IIHE Durgapur has designed a course which is all is available to all and is within the range of the people who have average financial background to provide opportunity to get involved in this huge emerging market. "
Online Tutoring Hub                  ,N/A,N/A,City Center,"City Center, Durgapur",Delhi, 713216,India,https://www.myprivatetutor.com/userfiles/centers/center14077391944129.jpg,"Chemistry, English, IT & Computer Subjects, Mathematics, IIT JEE Mains, GMAT, GRE, SAT, BBA Subjects, Management Subjects, MBA Entrance, Auto CAD, Computer, IT","
	Specialized educational guidance at your home

	Time saving for both the student and parent

	Best tutors from all around the world

	Current awareness on research

	Right scientific guidance

	Regular test

	Homework help and exam preparation

	Helps in assignments

	Best resource at cost effective rate

	All lessons are recorded and can be viewed any time

	Printable notes provided"
It Source Technologies                  ,N/A,N/A,City Center,"C- 13, Ramkinkar Bej Sarani, City Center",Delhi, 713216,India,https://www.myprivatetutor.com/userfiles/centers/center1446805779.png,"IT & Computer Subjects, IT, Computer for official job, Hardware Training, Microsoft Certification, School level computer, Computer Hardware, Software Engineering","
	ITSource Technologies in its long years of operation has successfully managed to position itself as the Solution & Service provider of the IT industry as an IMS (Infrastructure Management Service) Company, with a team of over 2500+ talented enthusiastic & committed people. We always position ourselves as a true IT partner rather than as a complete IT vendor. This is possible only because we view the marketplace from customers angle, design a solution as per customers requirements, select the products which are leaders in the industry and known for standards and finally integrate them in the network."
Smart Tuition (the Mentor)                  ,N/A,N/A,A-zone,"Rajendra Bhawan, Rammohan Avenue, A-Zone, Durgapur- 713204",Delhi, 713204,India,,"All Subjects, Biology, English, EVS, Mathematics, Chemistry, Physics, Bengali, Hindi, Sanskrit",All our staff members are fully qualified teachers with more then 20 years of teaching experience and are currently working in the renowned schools system. This ensures that all materials provided in classroom are relevant and meets all the Board of Studies requirements and outcomes.
